Random games won/total: 1/1.0, win %: 100.0%, last score: 1.0
Random games won/total: 1/2.0, win %: 50.0%, last score: -1
Random games won/total: 1/3.0, win %: 33.33%, last score: -1
Random games won/total: 1/4.0, win %: 25.0%, last score: -1
Random games won/total: 1/5.0, win %: 20.0%, last score: -1
Random games won/total: 1/6.0, win %: 16.67%, last score: -1
Random games won/total: 1/7.0, win %: 14.29%, last score: -1
Random games won/total: 1/8.0, win %: 12.5%, last score: -1
Random games won/total: 1/9.0, win %: 11.11%, last score: -1
Random games won/total: 2/10.0, win %: 20.0%, last score: 1.0
Random games won/total: 3/11.0, win %: 27.27%, last score: 1.0
Random games won/total: 3/12.0, win %: 25.0%, last score: -1
Random games won/total: 3/13.0, win %: 23.08%, last score: -1
Random games won/total: 3/14.0, win %: 21.43%, last score: -1
Random games won/total: 3/15.0, win %: 20.0%, last score: -1
Random games won/total: 4/16.0, win %: 25.0%, last score: 1.0
Random games won/total: 4/17.0, win %: 23.53%, last score: -1
Random games won/total: 5/18.0, win %: 27.78%, last score: 1.0
Random games won/total: 6/19.0, win %: 31.58%, last score: 1.0
Random games won/total: 7/20.0, win %: 35.0%, last score: 1.0
Random games won/total: 7/21.0, win %: 33.33%, last score: -1
Random games won/total: 8/22.0, win %: 36.36%, last score: 1.0
Random games won/total: 8/23.0, win %: 34.78%, last score: -1
Random games won/total: 9/24.0, win %: 37.5%, last score: 1.0
Random games won/total: 9/25.0, win %: 36.0%, last score: -1
Random games won/total: 10/26.0, win %: 38.46%, last score: 1.0
Random games won/total: 10/27.0, win %: 37.04%, last score: -1
Random games won/total: 11/28.0, win %: 39.29%, last score: 1.0
Random games won/total: 12/29.0, win %: 41.38%, last score: 1.0
Random games won/total: 13/30.0, win %: 43.33%, last score: 1.0
Trained episode: 1, current score: -1 mean_score: 0.0, e: 0.21, iterations (steps): 30
Trained episode: 2, current score: -1 mean_score: 0.0, e: 0.099, iterations (steps): 60
Trained episode: 3, current score: -1 mean_score: 0.0, e: 0.099, iterations (steps): 90
Trained episode: 4, current score: 1.0 mean_score: 0.0, e: 0.099, iterations (steps): 120
Trained episode: 5, current score: 1.0 mean_score: 0.0, e: 0.099, iterations (steps): 151
Trained episode: 6, current score: -1 mean_score: 0.0, e: 0.099, iterations (steps): 181
Trained episode: 7, current score: -1 mean_score: 0.0, e: 0.099, iterations (steps): 211
Trained episode: 8, current score: 1.0 mean_score: 0.0, e: 0.099, iterations (steps): 242
Trained episode: 9, current score: -1 mean_score: 0.0, e: 0.099, iterations (steps): 272
Trained episode: 10, current score: -1 mean_score: 0.3, e: 0.099, iterations (steps): 303
Trained episode: 11, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 334
Trained episode: 12, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 365
Trained episode: 13, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 397
Trained episode: 14, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 428
Trained episode: 15, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 458
Trained episode: 16, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 488
Trained episode: 17, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 518
Trained episode: 18, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 548
Trained episode: 19, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 578
Trained episode: 20, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 608
Trained episode: 21, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 639
Trained episode: 22, current score: -1 mean_score: 0.3, e: 0.099, iterations (steps): 669
Trained episode: 23, current score: -1 mean_score: 0.2, e: 0.099, iterations (steps): 699
Trained episode: 24, current score: 1.0 mean_score: 0.2, e: 0.099, iterations (steps): 729
Trained episode: 25, current score: -1 mean_score: 0.2, e: 0.099, iterations (steps): 759
Trained episode: 26, current score: -1 mean_score: 0.2, e: 0.099, iterations (steps): 790
Trained episode: 27, current score: -1 mean_score: 0.2, e: 0.099, iterations (steps): 820
Trained episode: 28, current score: -1 mean_score: 0.1, e: 0.099, iterations (steps): 850
Trained episode: 29, current score: -1 mean_score: 0.1, e: 0.099, iterations (steps): 880
Trained episode: 30, current score: -1 mean_score: 0.1, e: 0.099, iterations (steps): 910
Trained episode: 31, current score: 1.0 mean_score: 0.2, e: 0.099, iterations (steps): 940
Trained episode: 32, current score: -1 mean_score: 0.2, e: 0.099, iterations (steps): 970
Trained episode: 33, current score: -1 mean_score: 0.2, e: 0.099, iterations (steps): 1001
Trained episode: 34, current score: -1 mean_score: 0.1, e: 0.099, iterations (steps): 1031
Trained episode: 35, current score: -1 mean_score: 0.1, e: 0.099, iterations (steps): 1061
Trained episode: 36, current score: -1 mean_score: 0.1, e: 0.099, iterations (steps): 1091
Trained episode: 37, current score: -1 mean_score: 0.1, e: 0.099, iterations (steps): 1121
Trained episode: 38, current score: -1 mean_score: 0.1, e: 0.099, iterations (steps): 1151
Trained episode: 39, current score: 1.0 mean_score: 0.2, e: 0.099, iterations (steps): 1182
Trained episode: 40, current score: 1.0 mean_score: 0.3, e: 0.099, iterations (steps): 1212
Trained episode: 41, current score: -1 mean_score: 0.2, e: 0.099, iterations (steps): 1242
Trained episode: 42, current score: -1 mean_score: 0.2, e: 0.099, iterations (steps): 1273
Trained episode: 43, current score: -1 mean_score: 0.2, e: 0.099, iterations (steps): 1303
Trained episode: 44, current score: 1.0 mean_score: 0.3, e: 0.099, iterations (steps): 1333
